combination,installment
1000/6,"133,33"
2000/6,"133,33"
3000/6,"133,33"
4000/6,"133,33"
5000/6,"133,33"
6000/6,"133,33"
7000/6,"133,33"
8000/6,"133,33"
9000/6,"133,33"
10000/6,"133,33"
11000/6,"133,33"
12000/6,"133,33"
13000/6,"133,33"
14000/6,"133,33"
15000/6,"133,33"
1000/12,"133,33"
2000/12,"133,33"
3000/12,"133,33"
4000/12,"133,33"
5000/12,"133,33"
6000/12,"133,33"
7000/12,"133,33"
8000/12,"133,33"
9000/12,"133,33"
10000/12,"133,33"
11000/12,"133,33"
12000/12,"133,33"
13000/12,"133,33"
14000/12,"133,33"
15000/12,"133,33"
1000/24,"133,33"
2000/24,"133,33"
3000/24,"133,33"
4000/24,"133,33"
5000/24,"133,33"
6000/24,"133,33"
7000/24,"133,33"
8000/24,"133,33"
9000/24,"133,33"
10000/24,"133,33"
11000/24,"133,33"
12000/24,"133,33"
13000/24,"133,33"
14000/24,"133,33"
15000/24,"133,33"
1000/36,"133,33"
2000/36,"133,33"
3000/36,"133,33"
4000/36,"133,33"
5000/36,"133,33"
6000/36,"133,33"
7000/36,"133,33"
8000/36,"133,33"
9000/36,"133,33"
10000/36,"133,33"
11000/36,"133,33"
12000/36,"133,33"
13000/36,"133,33"
14000/36,"133,33"
15000/36,"133,33"
1000/48,"133,33"
2000/48,"133,33"
3000/48,"133,33"
4000/48,"133,33"
5000/48,"133,33"
6000/48,"133,33"
7000/48,"133,33"
8000/48,"133,33"
9000/48,"133,33"
10000/48,"133,33"
11000/48,"133,33"
12000/48,"133,33"
13000/48,"133,33"
14000/48,"133,33"
15000/48,"133,33"
1000/60,"133,33"
2000/60,"133,33"
3000/60,"133,33"
4000/60,"133,33"
5000/60,"133,33"
6000/60,"133,33"
7000/60,"133,33"
8000/60,"133,33"
9000/60,"133,33"
10000/60,"133,33"
11000/60,"133,33"
12000/60,"133,33"
13000/60,"133,33"
14000/60,"133,33"
15000/60,"133,33"
1000/72,"133,33"
2000/72,"133,33"
3000/72,"133,33"
4000/72,"133,33"
5000/72,"133,33"
6000/72,"133,33"
7000/72,"133,33"
8000/72,"133,33"
9000/72,"133,33"
10000/72,"133,33"
11000/72,"133,33"
12000/72,"133,33"
13000/72,"133,33"
14000/72,"133,33"
15000/72,"133,33"
1000/84,"133,33"
2000/84,"133,33"
3000/84,"133,33"
4000/84,"133,33"
5000/84,"133,33"
6000/84,"133,33"
7000/84,"133,33"
8000/84,"133,33"
9000/84,"133,33"
10000/84,"133,33"
11000/84,"133,33"
12000/84,"133,33"
13000/84,"133,33"
14000/84,"133,33"
15000/84,"133,33"
1000/96,"133,33"
2000/96,"133,33"
3000/96,"133,33"
4000/96,"133,33"
5000/96,"133,33"
6000/96,"133,33"
7000/96,"133,33"
8000/96,"133,33"
9000/96,"133,33"
10000/96,"133,33"
11000/96,"133,33"
12000/96,"133,33"
13000/96,"133,33"
14000/96,"133,33"
15000/96,"133,33"
