combination,installment,interest,APR,admin
100/3,"38,33","75,00","133,51","0,75"
100/6,"21,25","75,00","135,96","0,75"
500/6,"106,23","75,00","135,80","0,75"
1000/6,"212,46","75,00","135,80","0,75"
2000/6,"407,99","59,00","103,48","0,75"
100/12,"12,84","75,00","134,76","0,75"
500/12,"64,21","75,00","134,84","0,75"
1000/12,"122,99","65,00","114,44","0,75"
2000/12,"235,38","55,00","95,74","0,75"
3000/12,"337,54","45,00","78,58","0,75"
4000/12,"450,05","45,00","78,58","0,75"
5000/12,"562,56","45,00","78,58","0,75"
100/24,"8,29","65,00","111,32","0,75"
500/24,"41,47","65,00","111,45","0,75"
1000/24,"77,06","55,00","93,21","0,75"
2000/24,"154,12","55,00","93,21","0,75"
3000/24,"198,06","35,00","61,30","0,75"
4000/24,"264,07","35,00","61,29","0,75"
5000/24,"330,09","35,00","61,29","0,75"
500/36,"27,51","39,00","65,52","0,75"
1000/36,"55,03","39,00","65,54","0,75"
2000/36,"110,06","39,00","65,54","0,75"
3000/36,"158,21","35,00","59,72","0,75"
4000/36,"210,94","35,00","59,72","0,75"
5000/36,"263,68","35,00","59,72","0,75"
1000/48,"41,22","26,00","46,32","0,75"
2000/48,"82,43","26,00","46,31","0,75"
3000/48,"123,65","26,00","46,31","0,75"
4000/48,"164,87","26,00","46,31","0,75"
5000/48,"206,09","26,00","46,32","0,75"
