combination,installment
1000/12,95
2000/12,184
3000/12,275
4000/12,367
5000/12,459
6000/12,551
7000/12,643
8000/12,734
9000/12,826
10000/12,918
1000/24,53
2000/24,100
3000/24,150
4000/24,200
5000/24,250
6000/24,300
7000/24,350
8000/24,400
9000/24,450
10000/24,500
1000/36,39
2000/36,72
3000/36,108
4000/36,145
5000/36,181
6000/36,217
7000/36,253
8000/36,289
9000/36,325
10000/36,362
1000/48,32
2000/48,59
3000/48,88
4000/48,117
5000/48,146
6000/48,176
7000/48,205
8000/48,234
9000/48,264
10000/48,293
1000/60,28
2000/60,50
3000/60,76
4000/60,101
5000/60,126
6000/60,151
7000/60,176
8000/60,202
9000/60,227
10000/60,252
