combination,installment,interest,APR,admin
100/3,"36,42","10,00","70,9","0,89"
500/3,"180,68","5,00","63,0","0,89"
1000/3,"360,39","5,00","60,4","0,86"
2000/3,"720,77","5,00","60,4","0,86"
3000/3,"1 077,35","5,00","57,0","0,80"
4000/3,"1 436,46","5,00","57,0","0,80"
5000/3,"1 795,08","5,00","56,7","0,79"
6000/3,"2 154,09","5,00","56,7","0,79"
7000/3,"2 513,11","5,00","56,7","0,79"
8000/3,"2 872,12","5,00","56,7","0,79"
9000/3,"3 231,14","5,00","56,7","0,79"
10000/3,"3 583,49","5,00","55,0","0,79"
15000/3,"5 370,23","5,00","54,1","0,79"
100/6,"18,87","10,00","54,0","0,89"
500/6,"93,09","5,00","47,0","0,89"
1000/6,"185,54","5,00","45,2","0,86"
2000/6,"371,08","5,00","45,2","0,86"
3000/6,"553,82","5,00","42,7","0,80"
4000/6,"738,43","5,00","42,7","0,80"
5000/6,"922,53","5,00","42,4","0,79"
6000/6,"1 107,04","5,00","42,4","0,79"
7000/6,"1 291,54","5,00","42,4","0,79"
8000/6,"1 476,05","5,00","42,4","0,79"
9000/6,"1 660,56","5,00","42,4","0,79"
10000/6,"1 841,73","5,00","41,5","0,79"
15000/6,"2 760,09","5,00","41,0","0,79"
100/12,"10,09","10,00","43,9","0,89"
500/12,"49,30","5,00","37,6","0,89"
1000/12,"98,13","5,00","36,3","0,86"
2000/12,"196,25","5,00","36,3","0,86"
3000/12,"292,08","5,00","34,2","0,80"
4000/12,"389,43","5,00","34,2","0,80"
5000/12,"486,29","5,00","34,0","0,79"
6000/12,"583,55","5,00","34,0","0,79"
7000/12,"680,81","5,00","34,0","0,79"
8000/12,"778,06","5,00","34,0","0,79"
9000/12,"875,32","5,00","34,0","0,79"
10000/12,"970,91","5,00","33,5","0,79"
15000/12,"1 455,12","5,00","33,3","0,79"
100/24,"5,71","10,00","37,6","0,89"
500/24,"27,41","5,00","31,8","0,89"
1000/24,"54,43","5,00","30,8","0,86"
2000/24,"108,86","5,00","30,8","0,86"
3000/24,"161,24","5,00","29,1","0,80"
4000/24,"214,99","5,00","29,1","0,80"
5000/24,"268,24","5,00","28,8","0,79"
6000/24,"321,88","5,00","28,8","0,79"
7000/24,"375,53","5,00","28,8","0,79"
8000/24,"429,18","5,00","28,8","0,79"
9000/24,"482,82","5,00","28,8","0,79"
10000/24,"535,64","5,00","28,6","0,79"
15000/24,"802,83","5,00","28,5","0,79"
100/36,"4,26","10,00","34,8","0,89"
500/36,"20,12","5,00","29,2","0,89"
1000/36,"39,88","5,00","28,4","0,86"
2000/36,"79,76","5,00","28,4","0,86"
3000/36,"117,67","5,00","26,8","0,80"
4000/36,"156,89","5,00","26,8","0,80"
5000/36,"195,61","5,00","26,6","0,79"
6000/36,"234,73","5,00","26,6","0,79"
7000/36,"273,85","5,00","26,6","0,79"
8000/36,"312,97","5,00","26,6","0,79"
9000/36,"352,09","5,00","26,6","0,79"
10000/36,"390,66","5,00","26,5","0,79"
15000/36,"585,57","5,00","26,4","0,79"
100/48,"3,53","10,00","32,9","0,89"
500/48,"16,48","5,00","27,6","0,89"
1000/48,"32,61","5,00","26,9","0,86"
2000/48,"65,22","5,00","26,9","0,86"
3000/48,"95,91","5,00","25,4","0,80"
4000/48,"127,87","5,00","25,4","0,80"
5000/48,"159,34","5,00","25,2","0,79"
6000/48,"191,21","5,00","25,2","0,79"
7000/48,"223,07","5,00","25,2","0,79"
8000/48,"254,94","5,00","25,2","0,79"
9000/48,"286,81","5,00","25,2","0,79"
10000/48,"318,26","5,00","25,1","0,79"
15000/48,"477,07","5,00","25,1","0,79"
100/60,"3,10","10,00","31,6","0,89"
500/60,"14,30","5,00","26,5","0,89"
1000/60,"28,26","5,00","25,7","0,86"
2000/60,"56,51","5,00","25,7","0,86"
3000/60,"82,87","5,00","24,4","0,80"
4000/60,"110,49","5,00","24,4","0,80"
5000/60,"137,61","5,00","24,2","0,79"
6000/60,"165,13","5,00","24,2","0,79"
7000/60,"192,65","5,00","24,2","0,79"
8000/60,"220,17","5,00","24,2","0,79"
9000/60,"247,70","5,00","24,2","0,79"
10000/60,"274,88","5,00","24,1","0,79"
15000/60,"412,07","5,00","24,1","0,79"
500/72,"12,85","5,00","25,5","0,89"
1000/72,"25,36","5,00","24,8","0,86"
2000/72,"50,72","5,00","24,8","0,86"
3000/72,"74,19","5,00","23,6","0,80"
4000/72,"98,92","5,00","23,6","0,80"
5000/72,"123,15","5,00","23,3","0,79"
6000/72,"147,78","5,00","23,3","0,79"
7000/72,"172,41","5,00","23,3","0,79"
8000/72,"197,04","5,00","23,3","0,79"
9000/72,"221,67","5,00","23,3","0,79"
10000/72,"246,03","5,00","23,3","0,79"
15000/72,"368,83","5,00","23,3","0,79"
500/84,"11,81","5,00","24,7","0,89"
1000/84,"23,30","5,00","24,1","0,86"
2000/84,"46,59","5,00","24,1","0,86"
3000/84,"68,01","5,00","22,9","0,80"
4000/84,"90,68","5,00","22,9","0,80"
5000/84,"112,85","5,00","22,7","0,79"
6000/84,"135,42","5,00","22,7","0,79"
7000/84,"157,99","5,00","22,7","0,79"
8000/84,"180,56","5,00","22,7","0,79"
9000/84,"203,13","5,00","22,7","0,79"
10000/84,"225,46","5,00","22,6","0,79"
15000/84,"338,01","5,00","22,6","0,79"
