combination,installment,interest,APR
2000/6,"361,37","14,90","32,26"
3000/6,"542,05","14,90","32,26"
4000/6,"722,74","14,90","32,26"
5000/6,"895,79","11,90","28,10"
6000/6,"1074,95","11,90","28,10"
7000/6,"1254,11","11,90","28,20"
8000/6,"1433,27","11,90","28,40"
9000/6,"1612,43","11,90","28,40"
10000/6,"1781,45","9,90","25,88"
11000/6,"1959,6","9,90","25,88"
12000/6,"2137,75","9,90","25,89"
13000/6,"2315,89","9,90","25,88"
14000/6,"2494,04","9,90","25,89"
15000/6,"2672,18","9,90","25,88"
2000/12,"187,37","14,90","24,53"
3000/12,"281,05","14,90","24,59"
4000/12,"374,74","14,90","24,59"
5000/12,"461,15","11,90","20,93"
6000/12,"553,38","11,90","20,93"
7000/12,"645,61","11,90","20,93"
8000/12,"737,84","11,90","20,93"
9000/12,"830,07","11,90","20,93"
10000/12,"912,68","9,90","18,46"
11000/12,"1003,94","9,90","18,54"
12000/12,"1095,21","9,90","18,54"
13000/12,"1186,48","9,90","18,54"
14000/12,"1277,75","9,90","18,54"
15000/12,"1369,02","9,90","18,54"
2000/24,"100,6","14,90","20,45"
3000/24,"150,91","14,90","20,49"
4000/24,"201,21","14,90","20,49"
5000/24,"244,21","11,90","16,93"
6000/24,"293,05","11,90","16,93"
7000/24,"341,89","11,90","16,93"
8000/24,"390,74","11,90","16,94"
9000/24,"439,58","11,90","16,93"
10000/24,"478,81","9,90","14,62"
11000/24,"526,69","9,90","14,62"
12000/24,"574,58","9,90","14,60"
13000/24,"622,46","9,90","14,62"
14000/24,"670,34","9,90","14,62"
15000/24,"718,22","9,90","14,62"
2000/36,"71,89","14,90","19,07"
3000/36,"107,84","14,90","19,08"
4000/36,"143,79","14,90","19,06"
5000/36,"172,23","11,90","15,56"
6000/36,"206,68","11,90","15,56"
7000/36,"241,13","11,90","15,56"
8000/36,"275,57","11,90","15,56"
9000/36,"310,02","11,90","15,55"
10000/36,"334,66","9,90","13,27"
11000/36,"368,13","9,90","13,27"
12000/36,"401,59","9,90","13,27"
13000/36,"435,06","9,90","13,27"
14000/36,"468,53","9,90","13,27"
15000/36,"501,99","9,90","13,27"
2000/48,"57,7","14,90","18,38"
3000/48,"86,55","14,90","18,38"
4000/48,"115,4","14,90","18,38"
5000/48,"136,49","11,90","14,87"
6000/48,"163,79","11,90","14,87"
7000/48,"191,09","11,90","14,87"
8000/48,"218,39","11,90","14,87"
9000/48,"245,69","11,90","14,87"
10000/48,"262,93","9,90","12,58"
11000/48,"289,23","9,90","12,59"
12000/48,"315,52","9,90","12,57"
13000/48,"341,81","9,90","12,59"
14000/48,"368,11","9,90","12,59"
15000/48,"394,4","9,90","12,59"
2000/60,"48,83","14,90","17,44"
3000/60,"73,25","14,90","17,44"
4000/60,"97,66","14,90","17,44"
5000/60,"114,15","11,90","13,96"
6000/60,"136,98","11,90","13,97"
7000/60,"159,81","11,90","13,96"
8000/60,"182,64","11,90","13,97"
9000/60,"205,48","11,90","13,97"
10000/60,"220,17","9,90","12,18"
11000/60,"242,19","9,90","12,17"
12000/60,"264,21","9,90","12,18"
13000/60,"286,23","9,90","12,18"
14000/60,"308,24","9,90","12,17"
15000/60,"330,26","9,90","12,17"
2000/72,"43,38","14,90","17,22"
3000/72,"65,08","14,90","17,23"
4000/72,"86,77","14,90","17,23"
5000/72,"100,29","11,90","13,77"
6000/72,"120,34","11,90","13,77"
7000/72,"140,4","11,90","13,77"
8000/72,"160,46","11,90","13,77"
9000/72,"180,52","11,90","13,77"
10000/72,"191,9","9,90","11,91"
11000/72,"211,09","9,90","11,90"
12000/72,"230,28","9,90","11,91"
13000/72,"249,47","9,90","11,91"
14000/72,"268,66","9,90","11,91"
15000/72,"287,85","9,90","11,91"
