combination,installment,interest,APR,admin
500/12,"48,17","5,90","31,45","0,70"
1000/12,"96,35","5,90","31,48","0,70"
2000/12,"192,71","5,90","31,49","0,70"
3000/12,"288,47","5,90","30,89","0,68"
4000/12,"384,63","5,90","30,97","0,68"
5000/12,"476,79","5,90","28,89","0,60"
6000/12,"572,15","5,90","28,89","0,60"
7000/12,"667,51","5,90","28,89","0,60"
8000/12,"762,87","5,90","28,89","0,60"
9000/12,"858,22","5,90","28,89","0,60"
10000/12,"926,58","5,90","21,89","0,33"
11000/12,"1019,24","5,90","22,00","0,33"
12000/12,"1111,90","5,90","22,00","0,33"
13000/12,"1204,56","5,90","22,00","0,33"
14000/12,"1297,22","5,90","22,00","0,33"
15000/12,"1389,88","5,90","21,90","0,33"
500/24,"26,49","5,90","27,10","0,70"
1000/24,"52,99","5,90","27,12","0,70"
2000/24,"105,98","5,90","27,12","0,70"
3000/24,"158,38","5,90","26,63","0,68"
4000/24,"211,17","5,90","26,59","0,68"
5000/24,"259,96","5,90","24,61","0,60"
6000/24,"311,96","5,90","24,64","0,60"
7000/24,"363,95","5,90","24,64","0,60"
8000/24,"415,95","5,90","24,65","0,60"
9000/24,"467,94","5,90","24,64","0,60"
10000/24,"492,93","5,90","17,98","0,33"
11000/24,"542,23","5,90","18,03","0,33"
12000/24,"591,52","5,90","18,03","0,33"
13000/24,"640,81","5,90","18,03","0,33"
14000/24,"690,11","5,90","18,03","0,33"
15000/24,"739,40","5,90","18,03","0,33"
500/36,"19,27","5,90","25,19","0,70"
1000/36,"38,55","5,90","25,21","0,70"
2000/36,"77,11","5,90","25,22","0,70"
3000/36,"115,06","5,90","24,74","0,68"
4000/36,"153,42","5,90","24,70","0,68"
5000/36,"187,77","5,90","22,82","0,60"
6000/36,"225,33","5,90","22,86","0,60"
7000/36,"262,88","5,90","22,86","0,60"
8000/36,"300,44","5,90","22,86","0,60"
9000/36,"337,99","5,90","22,86","0,60"
10000/36,"355,55","5,90","18,13","0,40"
11000/36,"391,11","5,90","18,13","0,40"
12000/36,"426,66","5,90","18,16","0,40"
13000/36,"462,22","5,90","18,16","0,40"
14000/36,"497,77","5,90","18,16","0,40"
15000/36,"533,33","5,90","18,16","0,40"
500/48,"15,42","5,90","22,84","0,65"
1000/48,"30,84","5,90","22,84","0,65"
2000/48,"61,69","5,90","22,87","0,65"
3000/48,"90,44","5,90","21,27","0,58"
4000/48,"120,59","5,90","21,29","0,58"
5000/48,"149,24","5,90","20,60","0,55"
6000/48,"179,09","5,90","20,63","0,55"
7000/48,"208,94","5,90","20,63","0,55"
8000/48,"238,79","5,90","20,63","0,55"
9000/48,"268,63","5,90","20,63","0,55"
10000/48,"283,48","5,90","17,22","0,40"
11000/48,"311,83","5,90","17,24","0,40"
12000/48,"340,18","5,90","17,25","0,40"
13000/48,"368,53","5,90","17,22","0,40"
14000/48,"396,88","5,90","17,25","0,40"
15000/48,"425,23","5,90","17,22","0,40"
500/60,"12,81","5,90","20,05","0,56"
1000/60,"25,63","5,90","20,07","0,56"
2000/60,"51,26","5,90","20,07","0,56"
3000/60,"76,30","5,90","19,63","0,54"
4000/60,"101,73","5,90","19,62","0,54"
5000/60,"125,17","5,90","18,78","0,50"
6000/60,"150,20","5,90","18,78","0,50"
7000/60,"175,24","5,90","18,77","0,50"
8000/60,"200,27","5,90","18,78","0,50"
9000/60,"225,31","5,90","18,77","0,50"
10000/60,"240,34","5,90","16,61","0,40"
11000/60,"264,38","5,90","16,59","0,40"
12000/60,"288,41","5,90","16,61","0,40"
13000/60,"312,45","5,90","16,61","0,40"
14000/60,"336,48","5,90","16,61","0,40"
15000/60,"360,52","5,90","16,61","0,40"
500/72,"11,48","5,90","19,86","0,58"
1000/72,"22,96","5,90","19,86","0,58"
2000/72,"45,93","5,90","19,89","0,58"
3000/72,"65,00","5,90","17,16","0,45"
4000/72,"86,66","5,90","17,17","0,45"
5000/72,"106,33","5,90","16,32","0,41"
6000/72,"127,60","5,90","16,32","0,41"
7000/72,"148,86","5,90","16,33","0,41"
8000/72,"170,13","5,90","16,32","0,41"
9000/72,"191,40","5,90","16,33","0,41"
10000/72,"206,67","5,90","15,06","0,35"
11000/72,"227,33","5,90","15,06","0,35"
12000/72,"248,00","5,90","15,06","0,35"
13000/72,"268,67","5,90","15,06","0,35"
14000/72,"289,33","5,90","15,06","0,35"
15000/72,"310,00","5,90","15,06","0,35"
