combination,installment,interest,APR,admin
100/3,"38,72","74,50","148,51",0
500/3,"193,56","74,50","148,19",0
1000/3,"387,11","74,50","148,15",0
2000/3,"774,23","74,50","148,17",0
3000/3,"1161,34","74,50","148,16",0
4000/3,"1548,44","74,50","148,15",0
5000/3,"1935,55","74,50","148,15",0
6000/3,"2322,67","74,50","148,16",0
7000/3,"2709,78","74,50","148,16",0
8000/3,"3096,89","74,50","148,15",0
9000/3,"3484,00","74,50","148,15",0
10000/3,"3871,11","74,50","148,15",0
100/6,"21,04","71,00","127,59",0
500/6,"105,22","71,00","127,74",0
1000/6,"210,43","71,00","127,7",0
2000/6,"420,87","71,00","127,72",0
3000/6,"631,30","71,00","127,72",0
4000/6,"841,74","71,00","127,72",0
5000/6,"1052,17","71,00","127,72",0
6000/6,"1262,61","71,00","127,72",0
7000/6,"1473,04","71,00","127,72",0
8000/6,"1683,47","71,00","127,72",0
9000/6,"1893,91","71,00","127,72",0
10000/6,"2104,34","71,00","127,72",0
100/12,"12,63","71,00","126,72",0
500/12,"63,17","71,00","126,87",0
1000/12,"95,06","0,01","28,11","0,19"
2000/12,"190,12","0,00","28,11","0,19"
3000/12,"285,17","0,00","28,11","0,19"
4000/12,"380,24","0,00","28,11","0,19"
5000/12,"475,29","0,00","28,11","0,19"
6000/12,"570,35","0,00","28,11","0,19"
7000/12,"665,41","0,00","28,11","0,19"
8000/12,"760,47","0,00","28,11","0,19"
9000/12,"855,52","0,00","28,11","0,19"
10000/12,"950,59","0,00","28,11","0,19"
100/24,"7,15","46,00","76,77",0
500/24,"35,76","46,00","76,83",0
1000/24,"51,17","0,01","22,61","0,19"
2000/24,"102,35","0,01","22,63","0,19"
3000/24,"153,51","0,00","22,61","0,19"
4000/24,"204,69","0,00","22,62","0,19"
5000/24,"255,86","0,00","22,62","0,19"
6000/24,"307,03","0,00","22,62","0,19"
7000/24,"358,20","0,00","22,62","0,19"
8000/24,"409,37","0,00","22,62","0,19"
9000/24,"460,54","0,00","22,62","0,19"
10000/24,"511,71","0,00","22,62","0,19"
1000/36,"37,16","0,01","21,93","0,39"
2000/36,"74,31","0,01","21,92","0,39"
3000/36,"111,47","0,01","21,92","0,39"
4000/36,"148,62","0,01","21,92","0,39"
5000/36,"185,77","0,00","21,92","0,39"
6000/36,"222,92","0,00","21,91","0,39"
7000/36,"260,08","0,00","21,92","0,39"
8000/36,"297,23","0,00","21,92","0,39"
9000/36,"334,38","0,00","21,91","0,39"
10000/36,"371,53","0,00","21,91","0,39"
2000/48,"58,60","0,00","19,39","0,39"
3000/48,"87,89","0,00","19,39","0,39"
4000/48,"117,19","0,00","19,39","0,39"
5000/48,"146,48","0,00","19,38","0,39"
6000/48,"175,78","0,00","19,39","0,39"
7000/48,"205,08","0,00","19,39","0,39"
8000/48,"234,37","0,00","19,38","0,39"
9000/48,"263,66","0,00","19,38","0,39"
10000/48,"292,97","0,00","19,39","0,39"
2000/60,"48,44","0,01","17,01","0,39"
3000/60,"72,65","0,00","17,01","0,39"
4000/60,"96,87","0,00","17,01","0,39"
5000/60,"121,09","0,00","17,01","0,39"
6000/60,"145,30","0,00","17,01","0,39"
7000/60,"169,52","0,00","17,01","0,39"
8000/60,"193,74","0,00","17,01","0,39"
9000/60,"217,95","0,00","17,01","0,39"
10000/60,"242,17","0,00","17,01","0,39"
