combination,installment,interest,APR,admin
50/3,--,--,--,--
500/3,"172,17","0,00","21,38","1,10"
1000/3,"344,33","0,00","21,38","1,10"
2000/3,"684,67","0,00","17,22","0,90"
3000/3,"1022,5","0,00","14,19","0,75"
4000/3,"1363,33","0,00","14,19","0,75"
5000/3,"1704,17","0,00","14,19","0,75"
6000/3,2042,"0,00","13,20","0,70"
7000/3,"2382,33","0,00","13,20","0,70"
8000/3,"2722,67","0,00","13,20","0,70"
9000/3,3063,"0,00","13,20","0,70"
10000/3,"3398,33","0,00","12,20","0,65"
11000/3,"3738,17","0,00","12,20","0,65"
12000/3,4078,"0,00","12,20","0,65"
13000/3,"4417,83","0,00","12,20","0,65"
14000/3,"4757,67","0,00","12,20","0,65"
15000/3,"5097,5","0,00","12,20","0,65"
50/6,--,--,--,--
500/6,"88,83","0,00","24,53","1,10"
1000/6,"177,67","0,00","24,53","1,10"
2000/6,"351,33","0,00","19,76","0,90"
3000/6,"522,5","0,00","16,27","0,75"
4000/6,"696,67","0,00","16,27","0,75"
5000/6,"870,83","0,00","16,27","0,75"
6000/6,1042,"0,00","15,12","0,70"
7000/6,"1215,67","0,00","15,12","0,70"
8000/6,"1389,33","0,00","15,12","0,70"
9000/6,1563,"0,00","15,12","0,70"
10000/6,"1731,67","0,00","13,99","0,65"
11000/6,"1904,83","0,00","13,99","0,65"
12000/6,2078,"0,00","13,99","0,65"
13000/6,"2251,17","0,00","13,99","0,65"
14000/6,"2424,33","0,00","13,99","0,65"
15000/6,"2597,5","0,00","13,99","0,65"
50/12,--,--,--,--
500/12,"47,17","0,00","26,22","1,10"
1000/12,"94,33","0,00","26,22","1,10"
2000/12,"184,67","0,00","21,18","0,90"
3000/12,"272,5","0,00","17,47","0,75"
4000/12,"363,33","0,00","17,47","0,75"
5000/12,"454,17","0,00","17,47","0,75"
6000/12,542,"0,00","16,25","0,70"
7000/12,"632,33","0,00","16,25","0,70"
8000/12,"722,67","0,00","16,25","0,70"
9000/12,813,"0,00","16,25","0,70"
10000/12,"898,33","0,00","15,03","0,65"
11000/12,"988,17","0,00","15,03","0,65"
12000/12,1078,"0,00","15,03","0,65"
13000/12,"1167,83","0,00","15,03","0,65"
14000/12,"1257,67","0,00","15,03","0,65"
15000/12,"1347,5","0,00","15,03","0,65"
50/24,--,--,--,--
500/24,"26,33","0,00","26,29","1,10"
1000/24,"52,67","0,00","26,30","1,10"
2000/24,"101,33","0,00","21,37","0,90"
3000/24,"147,5","0,00","17,72","0,75"
4000/24,"196,67","0,00","17,72","0,75"
5000/24,"245,83","0,00","17,72","0,75"
6000/24,292,"0,00","16,51","0,70"
7000/24,"340,67","0,00","16,51","0,70"
8000/24,"389,33","0,00","16,51","0,70"
9000/24,438,"0,00","16,51","0,70"
10000/24,"481,67","0,00","15,30","0,65"
11000/24,"529,83","0,00","15,30","0,65"
12000/24,578,"0,00","15,30","0,65"
13000/24,"626,17","0,00","15,30","0,65"
14000/24,"674,33","0,00","15,30","0,65"
15000/24,"722,5","0,00","15,30","0,65"
50/36,--,--,--,--
1000/36,"38,78","0,00","25,74","1,10"
2000/36,"73,56","0,00","21,03","0,90"
3000/36,"105,83","0,00","17,51","0,75"
4000/36,"141,11","0,00","17,51","0,75"
5000/36,"176,39","0,00","17,51","0,75"
6000/36,"208,67","0,00","16,34","0,70"
7000/36,"243,44","0,00","16,34","0,70"
8000/36,"278,22","0,00","16,34","0,70"
9000/36,313,"0,00","16,34","0,70"
10000/36,"342,78","0,00","15,17","0,65"
11000/36,"377,06","0,00","15,17","0,65"
12000/36,"411,33","0,00","15,17","0,65"
13000/36,"445,61","0,00","15,17","0,65"
14000/36,"479,89","0,00","15,17","0,65"
15000/36,"514,17","0,00","15,17","0,65"
50/48,--,--,--,--
1000/48,"31,83","0,00","25,07","1,10"
2000/48,"59,67","0,00","20,59","0,90"
3000/48,85,"0,00","17,21","0,75"
4000/48,"113,33","0,00","17,21","0,75"
5000/48,"141,67","0,00","17,21","0,75"
6000/48,167,"0,00","16,08","0,70"
7000/48,"194,83","0,00","16,08","0,70"
8000/48,"222,67","0,00","16,08","0,70"
9000/48,"250,5","0,00","16,08","0,70"
10000/48,"273,33","0,00","14,95","0,65"
11000/48,"300,67","0,00","14,95","0,65"
12000/48,328,"0,00","14,95","0,65"
13000/48,"355,33","0,00","14,95","0,65"
14000/48,"382,67","0,00","14,95","0,65"
15000/48,410,"0,00","14,95","0,65"
50/60,--,--,--,--
1000/60,"27,67","0,00","24,45","1,10"
2000/60,"51,33","0,00","20,15","0,90"
3000/60,"72,5","0,00","16,89","0,75"
4000/60,"96,67","0,00","16,89","0,75"
