combination,installment,interest,APR,admin
1000/3,"344,37","6,35","21,99","0,75"
2000/3,"688,75","6,36","22,00","0,75"
3000/3,"1033,13","6,37","22,00","0,75"
4000/3,"1377,51","6,37","22,00","0,75"
5000/3,"1721,89","6,37","22,00","0,75"
6000/3,"2066,27","6,37","22,00","0,75"
7000/3,"2410,65","6,37","22,00","0,75"
8000/3,"2755,02","6,37","22,00","0,75"
9000/3,"3099,40","6,37","22,00","0,75"
10000/3,"3443,78","6,37","22,00","0,75"
1000/6,"176,40","4,58","21,98","0,75"
2000/6,"352,81","4,59","22,00","0,75"
3000/6,"529,22","4,59","22,00","0,75"
4000/6,"705,64","4,60","22,00","0,75"
5000/6,"882,04","4,60","22,00","0,75"
6000/6,"1058,45","4,60","22,00","0,75"
7000/6,"1234,87","4,60","22,00","0,75"
8000/6,"1411,27","4,60","22,00","0,75"
9000/6,"1587,68","4,60","22,00","0,75"
10000/6,"1764,09","4,60","22,00","0,75"
1000/12,"92,52","3,72","21,99","0,75"
2000/12,"185,05","3,73","22,00","0,75"
3000/12,"277,57","3,72","22,00","0,75"
4000/12,"370,10","3,73","22,00","0,75"
5000/12,"462,63","3,73","22,00","0,75"
6000/12,"555,15","3,73","22,00","0,75"
7000/12,"647,68","3,73","22,00","0,75"
8000/12,"740,20","3,73","22,00","0,75"
9000/12,"832,73","3,73","22,00","0,75"
10000/12,"925,26","3,73","22,00","0,75"
1000/24,"50,78","3,67","21,99","0,75"
2000/24,"101,56","3,67","21,99","0,75"
3000/24,"152,35","3,68","22,00","0,75"
4000/24,"203,14","3,69","22,00","0,75"
5000/24,"253,92","3,68","22,00","0,75"
6000/24,"304,71","3,69","22,00","0,75"
7000/24,"355,49","3,68","22,00","0,75"
8000/24,"406,28","3,69","22,00","0,75"
9000/24,"457,06","3,68","22,00","0,75"
10000/24,"507,85","3,69","22,00","0,75"
1000/36,"37,04","4,04","21,99","0,75"
2000/36,"74,09","4,05","22,00","0,75"
3000/36,"111,14","4,05","22,00","0,75"
4000/36,"148,19","4,05","22,00","0,75"
5000/36,"185,24","4,05","22,00","0,75"
6000/36,"222,29","4,05","22,00","0,75"
7000/36,"259,33","4,05","22,00","0,75"
8000/36,"296,38","4,05","22,00","0,75"
9000/36,"333,43","4,05","22,00","0,75"
10000/36,"370,48","4,05","22,00","0,75"
1000/48,"30,31","4,51","22,00","0,75"
2000/48,"60,61","4,50","21,99","0,75"
3000/48,"90,92","4,51","22,00","0,75"
4000/48,"121,23","4,51","22,00","0,75"
5000/48,"151,54","4,51","22,00","0,75"
6000/48,"181,86","4,51","22,00","0,75"
7000/48,"212,16","4,51","22,00","0,75"
8000/48,"242,48","4,51","22,00","0,75"
9000/48,"272,78","4,51","22,00","0,75"
10000/48,"303,10","4,51","22,00","0,75"
1000/60,"26,36","4,98","21,99","0,75"
2000/60,"52,73","4,99","22,00","0,75"
3000/60,"79,10","4,99","22,00","0,75"
4000/60,"105,47","4,99","22,00","0,75"
5000/60,"131,84","4,99","22,00","0,75"
6000/60,"158,20","4,99","22,00","0,75"
7000/60,"184,57","4,99","22,00","0,75"
8000/60,"210,94","4,99","22,00","0,75"
9000/60,"237,31","4,99","22,00","0,75"
10000/60,"263,68","4,99","22,00","0,75"
1000/72,"23,82","5,46","22,00","0,75"
2000/72,"47,64","5,46","22,00","0,75"
3000/72,"71,46","5,46","22,00","0,75"
4000/72,"95,28","5,46","22,00","0,75"
5000/72,"119,10","5,46","22,00","0,75"
6000/72,"142,93","5,47","22,00","0,75"
7000/72,"166,75","5,46","22,00","0,75"
8000/72,"190,57","5,46","22,00","0,75"
9000/72,"214,39","5,46","22,00","0,75"
10000/72,"238,21","5,46","22,00","0,75"
